COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ib.1	p_Ia.3.III	p_Ia.4.RS39	p_Ia.3.IV	p_Ia.4.1483	p_Ia.4.II	p_Ia.3.II	p_Ia.3.VI	p_Ia.3.V	p_Ia.3.I	p_Ia.1.I	N_Ib.1	N_Ia.3.III	N_Ia.4.RS39	N_Ia.3.IV	N_Ia.4.1483	N_Ia.4.II	N_Ia.3.II	N_Ia.3.VI	N_Ia.3.V	N_Ia.3.I	N_Ia.1.I
Glycerol-3-phosphate dehydrogenase (GlpA) (PDB:2RGH)	82.35258424692223	1.733547222571417e-13	3.213806247634265e-12	Ia.3.VI	COG0578	GC_00001309, GC_00003298	0	0	0	0	0	0	0	0.9787	0	0	0.2857	2	5	4	2	1	7	6	47	8	3	7
ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation (RecJ) (PDB:1IR6)	82.32424641955993	1.755927145494112e-13	3.213806247634265e-12	Ia.3.III, Ia.3.IV, Ia.3.II, Ia.3.I, Ia.1.I	COG0608	GC_00001659, GC_00002115, GC_00002386, GC_00003876, GC_00008045	0	1	0	1	0	0	1	0.0426	0	1	1	2	5	4	2	1	7	6	47	8	3	7
Cytochrome b561 (CybB) (PDB:5OC0)	82.28896584712417	1.784193208454722e-13	3.213806247634265e-12	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG3038	GC_00000993, GC_00003709	1	1	1	1	0	0	1	1	1	1	0.8571	2	5	4	2	1	7	6	47	8	3	7
Cytochrome c556 (CytC556) (PDB:1E83)	82.28896584712417	1.784193208454722e-13	3.213806247634265e-12	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG3909	GC_00000995	1	1	1	1	0	0	1	1	1	1	0.8571	2	5	4	2	1	7	6	47	8	3	7
Threonine dehydrogenase or related Zn-dependent dehydrogenase (Tdh) (PDB:4A2C)	82.10550164357284	1.9386617733356188e-13	3.448394629320732e-12	Ia.3.II, Ia.3.VI	COG1063	GC_00001225, GC_00005940	0	0	0	0	0	0	1	1	0.25	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
Glycerol kinase (GlpK) (PDB:2ZF5)	81.92381096097384	2.1047742467644647e-13	3.697646608822016e-12	Ib.1, Ia.3.III, Ia.3.VI, Ia.3.V, Ia.3.I	COG0554	GC_00001100	1	1	0	0.5	0	0	0.6667	1	1	1	0	2	5	4	2	1	7	6	47	8	3	7
Predicted small integral membrane protein (PUBMED:15071504)	81.66552760644767	2.3656257452269e-13	4.105226140802291e-12	Ib.1, Ia.3.III, Ia.3.II, Ia.3.I	COG5477	GC_00001597	1	1	0	0	0	0	0.6667	0	0	1	0	2	5	4	2	1	7	6	47	8	3	7
Glycosidase/amylase (phosphorylase) (AmyA) (PDB:2P67) (PUBMED:29684280)	81.0195522705775	3.1679437608483935e-13	5.3716884924224654e-12	Ib.1, Ia.4.RS39, Ia.4.II, Ia.3.I	COG0366	GC_00001610	1	0	0.75	0	0	1	0	0	0	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
Predicted HD phosphohydrolase (PDB:4MLN)	81.0174747091651	3.1709194192796e-13	5.3716884924224654e-12	Ib.1, Ia.3.III, Ia.4.RS39, Ia.4.1483, Ia.4.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG4341	GC_00001024, GC_00002120, GC_00003436	1	1	1	0.5	1	1	0.1667	1	1	1	0	2	5	4	2	1	7	6	47	8	3	7
Copper chaperone CopZ (CopZ) (PDB:1AFI)	80.83522915132106	3.443091256232907e-13	5.764139832493444e-12	Ia.4.1483, Ia.3.VI	COG2608	GC_00001304, GC_00007011, GC_00007164	0	0	0	0	1	0	0	0.9574	0.125	0	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF924 family (PDB:2I6H)	80.53835299716044	3.9372111622928427e-13	6.514711027840366e-12	Ib.1, Ia.3.IV, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG3803	GC_00001086	1	0.4	0.25	1	0	0	0	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF1800 family	80.30407667274865	4.376555975923497e-13	7.077089947430837e-12	Ia.3.VI, Ia.3.V	COG5267	GC_00001162	0	0	0	0.5	0	0	0.3333	1	1	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF1501 family	80.30407667274865	4.376555975923497e-13	7.077089947430837e-12	Ia.3.VI, Ia.3.V	COG4102	GC_00001160	0	0	0	0.5	0	0	0.3333	1	1	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
Phosphoenolpyruvate carboxylase (Ppc) (PDB:1FIY)	80.07596463150134	4.851253239981893e-13	7.75655433763397e-12	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG2352	GC_00001043	1	0	1	1	0	0	1	1	1	1	0.5714	2	5	4	2	1	7	6	47	8	3	7
Type IV pilus assembly protein PilN (PilN)!!!Type IV pilus assembly protein, ATPase PilM (PilM) (PDB:2YCH)	79.19490723043596	7.218710938073771e-13	1.0927899643488272e-11	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.4.II, Ia.3.I, Ia.1.I	COG3166!!!COG4972	GC_00001470	1	0	0.25	1	0	1	0	0	0	1	0.7143	2	5	4	2	1	7	6	47	8	3	7
Anti-sigma regulatory factor (Ser/Thr protein kinase) (RsbW) (PDB:1TIL)!!!GAF domain (GAF)!!!Phosphoserine phosphatase RsbU, regulator of sigma subunit (RsbU) (PDB:5UCG)	79.19490723043596	7.218710938073771e-13	1.0927899643488272e-11	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.4.II, Ia.3.I, Ia.1.I	COG2172!!!COG2203!!!COG2208	GC_00001487	1	0	0.25	1	0	1	0	0	0	1	0.7143	2	5	4	2	1	7	6	47	8	3	7
Type IV pilus assembly protein PilW (PilW)	79.19490723043596	7.218710938073771e-13	1.0927899643488272e-11	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.4.II, Ia.3.I, Ia.1.I	COG4966	GC_00001874, GC_00002801, GC_00002908, GC_00002974, GC_00007437, GC_00007469, GC_00007526	1	0	0.25	1	0	1	0	0	0	1	0.7143	2	5	4	2	1	7	6	47	8	3	7
Type IV pilus assembly protein PilV (PilV)	79.19490723043596	7.218710938073771e-13	1.0927899643488272e-11	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.4.II, Ia.3.I, Ia.1.I	COG4967	GC_00001881, GC_00002941, GC_00002942, GC_00002943, GC_00004684, GC_00004798, GC_00007784	1	0	0.25	1	0	1	0	0	0	1	0.7143	2	5	4	2	1	7	6	47	8	3	7
Type IV pilus assembly protein, tip-associated adhesin PilY1 (PilY1) (PDB:3HX6)	79.19490723043596	7.218710938073771e-13	1.0927899643488272e-11	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.4.II, Ia.3.I, Ia.1.I	COG3419	GC_00001907, GC_00002778, GC_00002883, GC_00003493, GC_00003664, GC_00004706, GC_00005209, GC_00005967, GC_00006931, GC_00007123, GC_00007776, GC_00008241	1	0	0.25	1	0	1	0	0	0	1	0.7143	2	5	4	2	1	7	6	47	8	3	7
Sugar lactone lactonase YvrE (YvrE) (PDB:1E1A)	78.67990972331788	9.104531436345566e-13	1.3637629719915516e-11	Ia.3.IV, Ia.4.1483, Ia.3.VI, Ia.3.V, Ia.1.I	COG3386	GC_00001134	0	0	0	1	1	0	0.3333	1	1	0	0.7143	2	5	4	2	1	7	6	47	8	3	7
Superfamily II DNA and RNA helicase (SrmB) (PDB:3RRM)	78.61916069907191	9.357139135700592e-13	1.3870009364689524e-11	Ia.3.III, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.I, Ia.1.I	COG0513	GC_00001084	0	1	0	1	0	0	1	1	0.25	1	0.8571	2	5	4	2	1	7	6	47	8	3	7
Cytochrome c peroxidase (MauG) (PDB:1EB7)	78.35349090560175	1.0546529778876821e-12	1.527549930499788e-11	Ia.3.VI, Ia.3.V	COG1858	GC_00001249	0	0	0	0.5	0	0	0	0.9787	0.625	0	0	2	5	4	2	1	7	6	47	8	3	7
CTP:molybdopterin cytidylyltransferase MocA (MocA) (PDB:2WAW)	78.2702367290432	1.094940919964711e-12	1.527549930499788e-11	Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.V	COG2068	GC_00001573	0	1	0	0	1	0	1	0	0.375	0	0	2	5	4	2	1	7	6	47	8	3	7
Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit (CoxL) (PDB:1DGJ) (PUBMED:10095793)	78.2702367290432	1.094940919964711e-12	1.527549930499788e-11	Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.V	COG1529	GC_00001571	0	1	0	0	1	0	1	0	0.375	0	0	2	5	4	2	1	7	6	47	8	3	7
Aldehyde, CO, or xanthine dehydrogenase, Fe-S subunit, CoxS/CutS family (CutS) (PDB:1FFU) (PUBMED:21175741)	78.2702367290432	1.094940919964711e-12	1.527549930499788e-11	Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.V	COG2080	GC_00001564	0	1	0	0	1	0	1	0	0.375	0	0	2	5	4	2	1	7	6	47	8	3	7
Carbon monoxide dehydrogenase subunit CoxG (CoxG) (PDB:2NS9)	78.2702367290432	1.094940919964711e-12	1.527549930499788e-11	Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.V	COG3427	GC_00001572	0	1	0	0	1	0	1	0	0.375	0	0	2	5	4	2	1	7	6	47	8	3	7
Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit (CutB) (PDB:5Y6Q)	78.2702367290432	1.094940919964711e-12	1.527549930499788e-11	Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.V	COG1319	GC_00001570	0	1	0	0	1	0	1	0	0.375	0	0	2	5	4	2	1	7	6	47	8	3	7
Threonine aldolase (GLY1) (PDB:4LNJ)	76.81479854483871	2.1072262721989095e-12	2.9112456168340276e-11	Ib.1, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.I, Ia.1.I	COG2008	GC_00001089	1	0.2	0	1	0	0	1	1	0.375	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized coiled-coil protein, contains DUF342 domain!!!TRAP-type mannitol/chloroaromatic compound transport system, large permease component (FcbT3)	76.73699551460163	2.182195420699427e-12	2.9858308496685426e-11	Ia.3.IV, Ia.3.V	COG1340!!!COG4664	GC_00001708	0	0	0	0.5	0	0	0	0.0213	1	0	0	2	5	4	2	1	7	6	47	8	3	7
Methionine synthase I (cobalamin-dependent), methyltransferase domain (MetH1) (PDB:1LT7)	76.49536348725753	2.432399488586003e-12	3.296480449769412e-11	Ib.1, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG0646	GC_00001182, GC_00001519	1	0.8	0	0	1	0	1	1	1	1	0.7143	2	5	4	2	1	7	6	47	8	3	7
TPR repeat (TPR) (PDB:1KLX)	76.1783052954663	2.804572183364579e-12	3.683041303495128e-11	Ia.3.VI, Ia.3.V	COG0790	GC_00001246, GC_00002262	0	0	0	0.5	0	0.1429	0	0.9787	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type sugar transport system, ATPase component (MglA)	76.14482407291699	2.847045280284358e-12	3.683041303495128e-11	Ia.3.IV, Ia.4.II, Ia.3.VI, Ia.3.V	COG1129	GC_00001254, GC_00001344, GC_00001420, GC_00001626, GC_00001703	0	0.6	0.5	1	0	0.8571	0	1	1	0	0	2	5	4	2	1	7	6	47	8	3	7
TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism (IolD)	76.14482407291699	2.847045280284358e-12	3.683041303495128e-11	Ia.3.IV, Ia.4.II, Ia.3.VI, Ia.3.V	COG3962	GC_00001109	0	0.6	0.5	1	0	0.8571	0	1	1	0	0	2	5	4	2	1	7	6	47	8	3	7
ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain (RbsB) (PDB:1BA2)	76.14482407291699	2.847045280284358e-12	3.683041303495128e-11	Ia.3.IV, Ia.4.II, Ia.3.VI, Ia.3.V	COG1879	GC_00001239, GC_00001347, GC_00001348, GC_00001421, GC_00001614, GC_00001697	0	0.6	0.5	1	0	0.8571	0	1	1	0	0	2	5	4	2	1	7	6	47	8	3	7
Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component (AraH)	76.14482407291699	2.847045280284358e-12	3.683041303495128e-11	Ia.3.IV, Ia.4.II, Ia.3.VI, Ia.3.V	COG1172	GC_00001241, GC_00001346, GC_00001422, GC_00001613, GC_00001694	0	0.6	0.5	1	0	0.8571	0	1	1	0	0	2	5	4	2	1	7	6	47	8	3	7
Anaerobic selenocysteine-containing dehydrogenase (BisC) (PDB:1EU1)	75.96994818249345	3.0795293165715412e-12	3.9200742782661706e-11	Ib.1, Ia.3.I	COG0243	GC_00002500	1	0	0	0	0	0	0	0	0	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily (ERG3) (PDB:4ZR0)	75.94591914369202	3.112919138749665e-12	3.9200742782661706e-11	Ia.3.III	COG3000	GC_00002104	0	1	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271)!!!Uncharacterized conserved protein YcgI, DUF1989 family (YcgI) (PDB:3DI4)	75.94591914369202	3.112919138749665e-12	3.9200742782661706e-11	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0404!!!COG3665	GC_00000954	1	0	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Mannosyl-3-phosphoglycerate phosphatase YedP/MpgP, HAD superfamily (YedP) (PDB:1XVI) (PUBMED:25848029)	74.85658415013081	5.0735985904608075e-12	6.278022277740254e-11	Ib.1, Ia.4.RS39, Ia.4.II, Ia.3.V, Ia.3.I	COG3769	GC_00001488	1	0	0.75	0	0	1	0	0	0.75	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
Allantoicase (Alc) (PDB:1O59)	74.83726228296504	5.117713170891563e-12	6.278022277740254e-11	Ia.3.IV, Ia.4.1483, Ia.3.V, Ia.1.I	COG4266	GC_00001596	0	0	0	0.5	1	0	0	0	1	0	0.5714	2	5	4	2	1	7	6	47	8	3	7
Ureidoglycolate hydrolase (allantoin degradation) (AllA) (PDB:1XSQ)	74.83726228296504	5.117713170891563e-12	6.278022277740254e-11	Ia.3.IV, Ia.4.1483, Ia.3.V, Ia.1.I	COG3194	GC_00001599	0	0	0	0.5	1	0	0	0	1	0	0.5714	2	5	4	2	1	7	6	47	8	3	7
Cyclic di-GMP-binding protein YajQ, UPF0234 family (YajQ) (PDB:1IN0) (PUBMED:25329577)	74.72777424578251	5.375008186489986e-12	6.537296281517308e-11	Ib.1, Ia.3.III, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.I, Ia.1.I	COG1666	GC_00001041	1	1	0	1	0	0	1	1	0.75	1	0.8571	2	5	4	2	1	7	6	47	8	3	7
Neutral trehalase (TreA) (PDB:2JF4)	74.63465050636766	5.603966580787603e-12	6.758003766492168e-11	Ia.3.VI, Ia.3.V	COG1626	GC_00001287	0	0	0	0	0	0	0	0.9362	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)	73.79011488724338	8.17853313936562e-12	9.77987618261956e-11	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG4638	GC_00001003, GC_00002284, GC_00002881, GC_00004420	1	1	0.25	1	1	0.1429	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
L-asparaginase II (AnsA2)	73.10727520680555	1.1098511961458866e-11	1.3160985434296638e-10	Ia.3.II, Ia.3.V	COG4448	GC_00001894	0	0	0	0	0	0	1	0	0.25	0	0	2	5	4	2	1	7	6	47	8	3	7
Taurine dioxygenase, alpha-ketoglutarate-dependent (TauD) (PDB:1DRT)	73.07782292090829	1.1245542638277979e-11	1.322512989609055e-10	Ib.1, Ia.3.III, Ia.4.RS39, Ia.4.1483, Ia.4.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG2175	GC_00001038, GC_00001122, GC_00001166, GC_00001794, GC_00002271, GC_00005243, GC_00006945, GC_00007781	1	1	1	0.5	1	1	0.6667	1	1	1	0	2	5	4	2	1	7	6	47	8	3	7
2-keto-3-deoxy-L-rhamnonate aldolase RhmA (HpcH) (PDB:1DXE)	72.68514550241649	1.3401702285546205e-11	1.5631657665846107e-10	Ia.3.III, Ia.3.IV, Ia.4.II, Ia.3.VI, Ia.3.V	COG3836	GC_00001108, GC_00001977, GC_00006293, GC_00008203	0	0.8	0.5	1	0	0.8571	0	1	1	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
Predicted ester cyclase (PDB:3EHC)	72.53599526001342	1.4324606203412333e-11	1.6572288315004675e-10	Ia.3.VI, Ia.3.V	COG5485	GC_00001284, GC_00001285	0	0	0	0.5	0	0	0	0.9362	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V)	71.37532872183434	2.4039041800634022e-11	2.758673909863082e-10	Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.1.I	COG1917	GC_00001281, GC_00001611, GC_00002141, GC_00004191, GC_00004772, GC_00004891, GC_00005679, GC_00006690, GC_00007620, GC_00008101	0	0	0	1	0	0	1	0.9574	0.75	0.3333	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, contains GYD domain	71.29203991990977	2.4947941414640854e-11	2.8400736506427145e-10	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG4274	GC_00001477, GC_00001563	1	1	1	0.5	1	1	1	0	0.5	0.6667	0.4286	2	5	4	2	1	7	6	47	8	3	7
Sugar phosphate isomerase/epimerase (YcjR) (PDB:3KTC) (PUBMED:30742415)	70.9961888991833	2.8462171838645776e-11	3.2144182957454716e-10	Ia.3.IV, Ia.4.II, Ia.3.VI, Ia.3.V	COG1082	GC_00001111, GC_00001854, GC_00003068, GC_00004357, GC_00004788, GC_00004921, GC_00006421, GC_00007247	0	0.6	0.5	1	0	1	0.1667	1	1	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family (HiuH) (PDB:2IGL)	70.97655204030993	2.8712158916042227e-11	3.217118278545519e-10	Ib.1, Ia.3.IV, Ia.4.1483, Ia.3.V, Ia.3.I	COG2351	GC_00001768, GC_00001772	1	0	0	0.5	1	0	0	0.0638	1	1	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, RmlC-like cupin domain (RmlC)	70.77306340322818	3.143501309376455e-11	3.486295411269651e-10	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.II, Ia.3.V, Ia.3.I, Ia.1.I	COG4101	GC_00001529, GC_00001562	0	1	0.5	1	0	0.2857	0	0	0.625	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains (YedE)	70.76098386807556	3.160450513378672e-11	3.486295411269651e-10	Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.VI	COG2391	GC_00001119, GC_00001123, GC_00005207	0	1	0	0.5	1	0	1	1	0.25	0.3333	0.7143	2	5	4	2	1	7	6	47	8	3	7
Methionine synthase II (cobalamin-independent) (MetE) (PDB:1T7L)	70.39993721172472	3.711320863507159e-11	4.06246891443899e-10	Ia.3.VI, Ia.3.V	COG0620	GC_00001279, GC_00006545	0.5	0	0	0.5	0	0	0	0.9362	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB (MtnN) (PDB:1T8R) (PUBMED:18801996)	69.39012587468991	5.813875520914913e-11	6.220409673881221e-10	Ia.3.IV, Ia.3.II, Ia.1.I	COG0775	GC_00001709	0	0	0	1	0	0	0.3333	0	0	0	0.8571	2	5	4	2	1	7	6	47	8	3	7
5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit (MtnA) (PDB:1T5O) (PUBMED:31950558)	69.39012587468989	5.813875520914985e-11	6.220409673881221e-10	Ib.1, Ia.3.III, Ia.4.RS39, Ia.4.1483, Ia.4.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG0182	GC_00000997	1	1	1	0	1	1	0.6667	1	1	1	0.1429	2	5	4	2	1	7	6	47	8	3	7
Purine nucleoside phosphorylase (XapA) (PDB:1YQQ)	69.39012587468989	5.813875520914985e-11	6.220409673881221e-10	Ib.1, Ia.3.III, Ia.4.RS39, Ia.4.1483, Ia.4.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG0005	GC_00001005	1	1	1	0	1	1	0.6667	1	1	1	0.1429	2	5	4	2	1	7	6	47	8	3	7
TRAP-type uncharacterized transport system, periplasmic component (Imp) (PDB:1US4)	68.83337565616782	7.443816674174722e-11	7.846334168407874e-10	Ia.3.III, Ia.3.IV, Ia.3.VI, Ia.3.I	COG2358	GC_00001275, GC_00001590, GC_00006296	0	1	0	1	0	0	0.5	1	0.375	1	0.2857	2	5	4	2	1	7	6	47	8	3	7
TRAP-type uncharacterized transport system, fused permease components	68.83337565616782	7.443816674174722e-11	7.846334168407874e-10	Ia.3.III, Ia.3.IV, Ia.3.VI, Ia.3.I	COG4666	GC_00001271, GC_00001593	0	1	0	1	0	0	0.5	1	0.375	1	0.2857	2	5	4	2	1	7	6	47	8	3	7
tRNA A37 threonylcarbamoyladenosine modification protein TsaB (TsaB) (PDB:1OKJ)	68.65168351470739	8.068618685367997e-11	8.442385580351955e-10	Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG1214	GC_00000956	0	0.4	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family (PhyH) (PDB:2A1X)	68.59082987347108	8.289346200524642e-11	8.610028936749318e-10	Ib.1, Ia.3.III, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG5285	GC_00001107, GC_00001133, GC_00001140, GC_00001200, GC_00001203, GC_00001273, GC_00001327, GC_00001713, GC_00002696, GC_00003277, GC_00003506, GC_00003589, GC_00004585, GC_00004626, GC_00004905, GC_00005037, GC_00005246, GC_00005535, GC_00006082, GC_00006110, GC_00006188, GC_00006789, GC_00007069, GC_00007444, GC_00007762, GC_00007821, GC_00008198	1	1	0.25	1	0	0.1429	1	1	1	1	0.8571	2	5	4	2	1	7	6	47	8	3	7
Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK (TesA) (PDB:1BWP)	67.95532439722	1.098623102061849e-10	1.1328555610391384e-9	Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG2755	GC_00000965, GC_00003910, GC_00004459, GC_00005026, GC_00005121, GC_00005589, GC_00005771, GC_00006544, GC_00006628, GC_00006924, GC_00007353	0	1	0.5	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex (BamE) (PDB:2KM7)	67.74447327429263	1.2061578860341734e-10	1.2347932890839055e-9	Ib.1, Ia.3.III, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG2913	GC_00000989, GC_00003466	1	1	0	0.5	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized peptidoglycan binding protein, contains LysM and FecR  domains	67.59135687841659	1.2907583397640294e-10	1.3119636553458669e-9	Ia.3.III, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI	COG4254	GC_00001322, GC_00001482, GC_00001905, GC_00002468, GC_00004042, GC_00004390	0	1	0.25	0.5	1	1	1	0.9574	0.125	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase (HypB) (PDB:2HF8) (PUBMED:24338018;23899293)	67.39567123854316	1.4075332444400309e-10	1.3625304808422884e-9	Ia.3.V	COG0378	GC_00002072	0	0	0	0	0	0	0	0	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
Urease alpha subunit (UreC) (PDB:5A6T)	67.39567123854316	1.4075332444400309e-10	1.3625304808422884e-9	Ia.3.V	COG0804	GC_00002168	0	0	0	0	0	0	0	0	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
Urease accessory protein UreF (UreF) (PDB:3SF5)	67.39567123854316	1.4075332444400309e-10	1.3625304808422884e-9	Ia.3.V	COG0830	GC_00002160	0	0	0	0	0	0	0	0	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
Urease beta subunit (UreB)	67.39567123854316	1.4075332444400309e-10	1.3625304808422884e-9	Ia.3.V	COG0832	GC_00002180	0	0	0	0	0	0	0	0	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
Urease accessory protein UreE (UreE) (PDB:1EAR)	67.39567123854316	1.4075332444400309e-10	1.3625304808422884e-9	Ia.3.V	COG2371	GC_00002178	0	0	0	0	0	0	0	0	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
Urease accessory protein UreH (UreH) (PDB:3SF5)	67.39567123854316	1.4075332444400309e-10	1.3625304808422884e-9	Ia.3.V	COG0829	GC_00002113	0	0	0	0	0	0	0	0	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
Urease gamma subunit (UreA) (PDB:1A5K)	67.39567123854316	1.4075332444400309e-10	1.3625304808422884e-9	Ia.3.V	COG0831	GC_00002055	0	0	0	0	0	0	0	0	0.75	0	0	2	5	4	2	1	7	6	47	8	3	7
Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor) (SpoIIAA) (PDB:1AUZ)	66.80169412677215	1.8303989136784736e-10	1.7599038203813974e-9	Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.VI	COG1366	GC_00001251, GC_00001295	0	1	0	0	1	0	1	0.8723	0.125	0	0	2	5	4	2	1	7	6	47	8	3	7
Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin) (AhpC) (PDB:2RII)	66.69804873817193	1.9161969907266013e-10	1.8300324280563446e-9	Ib.1, Ia.3.III	COG0450	GC_00002074, GC_00003799	1	0.8	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
